Epoch[1] Iteration[204/214], loss: 4.0149, nitc_loss: 4.2849, ritc_loss: -0.2700, Base Lr: 4.81e-05
Epoch[1] Iteration[205/214], loss: 3.8998, nitc_loss: 4.1614, ritc_loss: -0.2616, Base Lr: 4.83e-05
Epoch[1] Iteration[206/214], loss: 3.9375, nitc_loss: 4.2184, ritc_loss: -0.2810, Base Lr: 4.85e-05
Epoch[1] Iteration[207/214], loss: 3.9173, nitc_loss: 4.1632, ritc_loss: -0.2458, Base Lr: 4.88e-05
Epoch[1] Iteration[208/214], loss: 3.9539, nitc_loss: 4.1942, ritc_loss: -0.2403, Base Lr: 4.90e-05
Epoch[1] Iteration[209/214], loss: 3.9948, nitc_loss: 4.2743, ritc_loss: -0.2795, Base Lr: 4.92e-05
Epoch[1] Iteration[210/214], loss: 3.9801, nitc_loss: 4.2490, ritc_loss: -0.2689, Base Lr: 4.95e-05
Epoch[1] Iteration[211/214], loss: 3.9163, nitc_loss: 4.1981, ritc_loss: -0.2818, Base Lr: 4.97e-05
Epoch[1] Iteration[212/214], loss: 3.9321, nitc_loss: 4.1874, ritc_loss: -0.2553, Base Lr: 4.99e-05
Epoch[1] Iteration[213/214], loss: 3.9811, nitc_loss: 4.2486, ritc_loss: -0.2675, Base Lr: 5.02e-05
Epoch[1] Iteration[214/214], loss: 3.9160, nitc_loss: 4.1686, ritc_loss: -0.2526, Base Lr: 5.04e-05
