Epoch[1] Iteration[166/1608], loss: 3.4952, nitc_loss: 2.1919, ritc_loss: 1.3033, Base Lr: 6.08e-06
Epoch[1] Iteration[167/1608], loss: 3.6904, nitc_loss: 2.2733, ritc_loss: 1.4171, Base Lr: 6.11e-06
Epoch[1] Iteration[168/1608], loss: 3.4713, nitc_loss: 2.1393, ritc_loss: 1.3320, Base Lr: 6.14e-06
Epoch[1] Iteration[169/1608], loss: 3.4960, nitc_loss: 2.1203, ritc_loss: 1.3757, Base Lr: 6.17e-06
Epoch[1] Iteration[170/1608], loss: 3.3180, nitc_loss: 2.0203, ritc_loss: 1.2976, Base Lr: 6.20e-06
Epoch[1] Iteration[171/1608], loss: 3.1603, nitc_loss: 1.9588, ritc_loss: 1.2015, Base Lr: 6.23e-06
Epoch[1] Iteration[172/1608], loss: 3.1630, nitc_loss: 1.9359, ritc_loss: 1.2272, Base Lr: 6.27e-06
Epoch[1] Iteration[173/1608], loss: 3.5424, nitc_loss: 2.1646, ritc_loss: 1.3777, Base Lr: 6.30e-06
Epoch[1] Iteration[174/1608], loss: 3.5237, nitc_loss: 2.1486, ritc_loss: 1.3751, Base Lr: 6.33e-06
Epoch[1] Iteration[175/1608], loss: 3.1703, nitc_loss: 1.9736, ritc_loss: 1.1967, Base Lr: 6.36e-06
Epoch[1] Iteration[176/1608], loss: 3.2224, nitc_loss: 1.9943, ritc_loss: 1.2281, Base Lr: 6.39e-06
Epoch[1] Iteration[177/1608], loss: 3.5398, nitc_loss: 2.1744, ritc_loss: 1.3654, Base Lr: 6.42e-06
Epoch[1] Iteration[178/1608], loss: 3.0321, nitc_loss: 1.8664, ritc_loss: 1.1657, Base Lr: 6.45e-06
Epoch[1] Iteration[179/1608], loss: 3.3155, nitc_loss: 2.0221, ritc_loss: 1.2934, Base Lr: 6.48e-06
Epoch[1] Iteration[180/1608], loss: 3.0161, nitc_loss: 1.8786, ritc_loss: 1.1375, Base Lr: 6.51e-06
Epoch[1] Iteration[181/1608], loss: 3.4182, nitc_loss: 2.1069, ritc_loss: 1.3114, Base Lr: 6.54e-06
Epoch[1] Iteration[182/1608], loss: 3.4793, nitc_loss: 2.1994, ritc_loss: 1.2799, Base Lr: 6.57e-06
Epoch[1] Iteration[183/1608], loss: 3.4925, nitc_loss: 2.2350, ritc_loss: 1.2575, Base Lr: 6.60e-06
Epoch[1] Iteration[184/1608], loss: 3.2052, nitc_loss: 1.9380, ritc_loss: 1.2673, Base Lr: 6.64e-06
Epoch[1] Iteration[185/1608], loss: 3.6073, nitc_loss: 2.2558, ritc_loss: 1.3515, Base Lr: 6.67e-06
Epoch[1] Iteration[186/1608], loss: 2.9813, nitc_loss: 1.7793, ritc_loss: 1.2020, Base Lr: 6.70e-06
Epoch[1] Iteration[187/1608], loss: 3.1745, nitc_loss: 1.9846, ritc_loss: 1.1899, Base Lr: 6.73e-06
Epoch[1] Iteration[188/1608], loss: 3.0434, nitc_loss: 1.8463, ritc_loss: 1.1971, Base Lr: 6.76e-06
Epoch[1] Iteration[189/1608], loss: 3.4515, nitc_loss: 2.1128, ritc_loss: 1.3387, Base Lr: 6.79e-06
Epoch[1] Iteration[190/1608], loss: 3.2484, nitc_loss: 2.0024, ritc_loss: 1.2460, Base Lr: 6.82e-06
Epoch[1] Iteration[191/1608], loss: 3.0270, nitc_loss: 1.8917, ritc_loss: 1.1352, Base Lr: 6.85e-06
Epoch[1] Iteration[192/1608], loss: 3.3818, nitc_loss: 2.1219, ritc_loss: 1.2599, Base Lr: 6.88e-06
